TIMESTAMP,RECORD,AirTF,RH,Rainfall_Tot 
2022-12-02 17:00:00,72559,44.50005,40.83183,0
2022-12-02 17:15:00,72560,44.21434,41.08977,0
2022-12-02 17:30:00,72561,43.76654,40.23507,0
2022-12-02 17:45:00,72562,44.39291,39.38037,0
2022-12-02 18:00:00,72563,43.40115,39.53604,0
2022-12-03 16:45:00,72564,59.1237,83.7699,0
2022-12-03 17:00:00,72565,59.13469,83.34102,0
2022-12-03 17:15:00,72566,58.39017,82.52905,0
2022-12-04 10:15:00,72567,42.56598,43.66303,0
2022-12-04 10:30:00,72568,43.7473,41.53086,0
2022-12-04 10:45:00,72569,44.69236,40.73721,0
2022-12-04 11:00:00,72570,45.64291,38.51498,0
2022-12-04 11:15:00,72571,45.88193,38.85381,0
2022-12-04 11:30:00,72572,46.19786,37.69691,0
2022-12-04 11:45:00,72573,47.58797,36.93989,0
2022-12-04 12:00:00,72574,47.4506,36.38433,0
2022-12-04 12:15:00,72575,47.62917,34.93897,0
2022-12-04 12:30:00,72576,47.87368,34.60014,0
2022-12-04 12:45:00,72577,47.94236,37.64502,0
2022-12-04 13:00:00,72578,47.94236,34.43531,0
2022-12-04 13:15:00,72579,49.47533,31.89715,0
2022-12-04 13:30:00,72580,49.77478,32.36571,0
2022-12-04 13:45:00,72581,50.35171,31.86968,0
2022-12-04 14:00:00,72582,49.44511,32.22682,0
2022-12-04 14:15:00,72583,49.41764,31.1905,0.01
2022-12-04 14:30:00,72584,49.64016,32.06962,0
2022-12-04 14:45:00,72585,49.80226,32.32908,0
2022-12-04 15:00:00,72586,49.55225,33.07695,0
2022-12-04 15:15:00,72587,49.16764,32.29245,0
2022-12-04 15:30:00,72588,49.9094,32.11541,0
2022-12-04 15:45:00,72589,49.19786,32.33519,0
2022-12-04 16:00:00,72590,48.83522,31.95362,0
2022-12-04 16:15:00,72591,48.2528,33.67523,0
2022-12-04 16:30:00,72592,48.14017,34.51925,0
2022-12-04 16:45:00,72593,47.95884,33.77291,0
2022-12-04 17:00:00,72594,47.73632,34.31779,0
2022-12-04 17:15:00,72595,47.78577,34.90387,0
2022-12-04 17:30:00,72596,47.79676,35.24575,0
2022-12-04 17:45:00,72597,46.65939,34.39868,0
2022-12-04 18:00:00,72598,45.37642,34.71156,0
2022-12-05 10:15:00,72599,42.42313,53.73935,0
2022-12-05 10:30:00,72600,43.68137,51.6087,0
2022-12-05 10:45:00,72601,44.04401,49.29948,0
2022-12-05 11:00:00,72602,45.21983,40.68837,0
2022-12-05 11:15:00,72603,48.73083,35.25185,0
2022-12-05 11:30:00,72604,48.22258,33.62792,0
2022-12-05 11:45:00,72605,48.98082,31.94294,0
2022-12-05 12:00:00,72606,48.12643,29.96492,0
2022-12-05 12:15:00,72607,50.41215,29.07358,0
2022-12-05 12:30:00,72608,50.32973,30.73415,0
2022-12-05 12:45:00,72609,50.23357,29.75887,0
2022-12-05 13:00:00,72610,49.6072,27.46797,0
2022-12-05 13:15:00,72611,49.50281,28.13189,0
2022-12-05 13:30:00,72612,49.93962,27.33213,0
2022-12-05 13:45:00,72613,50.10171,29.01101,0
2022-12-05 14:00:00,72614,50.81874,25.92645,0
2022-12-05 14:15:00,72615,50.54951,25.82114,0
2022-12-05 14:30:00,72616,50.97259,24.96796,0
2022-12-05 14:45:00,72617,51.51929,24.23994,0
2022-12-05 15:00:00,72618,50.65115,25.31748,0
2022-12-05 15:15:00,72619,49.67863,27.73201,0
2022-12-05 15:30:00,72620,48.9094,26.32022,0
2022-12-05 15:45:00,72621,49.25281,25.89745,0
2022-12-05 16:00:00,72622,49.23083,26.54611,0
2022-12-05 16:15:00,72623,49.52753,27.45728,0
2022-12-05 16:30:00,72624,48.76928,27.16577,0
2022-12-05 16:45:00,72625,48.53302,26.46675,0
2022-12-05 17:00:00,72626,47.33522,31.13402,0
2022-12-05 17:15:00,72627,47.54127,33.3303,0
2022-12-05 17:30:00,72628,47.70061,30.00918,0
2022-12-05 17:45:00,72629,47.41489,34.32389,0.01
2022-12-05 18:00:00,72630,46.35445,35.63952,0
2022-12-06 11:00:00,72631,51.20061,88.14413,0
2022-12-06 11:15:00,72632,52.0083,87.72747,0
2022-12-06 11:30:00,72633,52.29677,86.86971,0
2022-12-06 11:45:00,72634,56.0605,85.28851,0
2022-12-06 12:00:00,72635,58.83797,82.39169,0
2022-12-06 12:15:00,72636,59.09896,81.43473,0
2022-12-06 12:30:00,72637,59.71709,81.42863,0
2022-12-06 12:45:00,72638,59.68688,81.90328,0
2022-12-06 13:00:00,72639,59.46435,81.40878,0
2022-12-06 13:15:00,72640,59.18138,80.055,0
2022-12-06 13:30:00,72641,58.6704,79.78485,0
2022-12-06 13:45:00,72642,58.39841,79.40786,0
2022-12-06 14:00:00,72643,59.46984,79.33003,0
2022-12-06 14:15:00,72644,58.59621,81.34621,0
2022-12-06 14:30:00,72645,57.81875,81.13558,0
2022-12-06 14:45:00,72646,59.07698,84.25524,0
2022-12-06 15:00:00,72647,58.59621,83.9103,0
2022-12-06 15:15:00,72648,58.02754,84.40176,0
2022-12-06 15:30:00,72649,57.1649,83.05256,0
2022-12-06 15:45:00,72650,58.13468,83.26165,0
2022-12-06 16:00:00,72651,57.50282,82.82362,0
2022-12-06 16:15:00,72652,58.5605,82.46037,0
2022-12-06 16:30:00,72653,58.3105,82.381,0
2022-12-06 16:45:00,72654,57.6649,82.45274,0
2022-12-06 17:00:00,72655,57.6072,82.87399,0
2022-12-06 17:15:00,72656,57.74732,80.87765,0
2022-12-07 12:45:00,72657,58.91765,96.92314,0
2022-12-07 13:00:00,72658,57.86819,96.10506,0
2022-12-07 13:15:00,72659,58.05226,96.43474,0
2022-12-07 13:30:00,72660,59.10171,96.92619,0
2022-12-07 13:45:00,72661,58.82424,96.59347,0
2022-12-07 14:00:00,72662,59.03028,96.66367,0
2022-12-07 14:15:00,72663,59.42039,96.76594,0
2022-12-07 14:30:00,72664,59.38468,96.63621,0
2022-12-07 14:45:00,72665,59.40391,96.65604,0.01
2022-12-07 15:00:00,72666,59.4616,96.63315,0
2022-12-07 15:15:00,72667,59.805,96.48968,0
2022-12-07 15:30:00,72668,59.89293,96.6881,0
2022-12-07 15:45:00,72669,60.30501,96.58889,0
2022-12-07 16:00:00,72670,60.65941,96.35384,0
2022-12-07 16:15:00,72671,60.2528,95.72045,0
2022-12-07 16:30:00,72672,60.67863,95.91123,0
2022-12-07 16:45:00,72673,60.75007,95.81814,0
2022-12-07 17:00:00,72674,59.05501,93.81417,0
2022-12-08 10:00:00,72675,52.94786,66.20731,0
2022-12-08 10:15:00,72676,52.3627,66.39352,0
2022-12-08 10:30:00,72677,51.98083,67.97166,0
2022-12-08 10:45:00,72678,53.31325,65.73112,0
2022-12-08 11:00:00,72679,53.1539,64.77263,0
2022-12-08 11:15:00,72680,52.78577,64.70853,0
2022-12-08 11:30:00,72681,52.81325,65.4976,0
2022-12-08 11:45:00,72682,53.51654,63.85688,0
2022-12-08 12:00:00,72683,53.49182,59.51774,0
2022-12-08 12:15:00,72684,53.18413,61.12336,0
2022-12-08 12:30:00,72685,53.5193,56.83917,0
2022-12-08 12:45:00,72686,54.24731,54.14686,0
2022-12-08 13:00:00,72687,54.24731,51.62396,0
2022-12-08 13:15:00,72688,54.26654,51.44081,0
2022-12-08 13:30:00,72689,54.75555,49.05223,0
2022-12-08 13:45:00,72690,55.26929,48.17158,0
2022-12-08 14:00:00,72691,55.33248,47.24362,0
2022-12-08 14:15:00,72692,56.02478,46.64075,0
2022-12-08 14:30:00,72693,56.35446,46.26224,0
2022-12-08 14:45:00,72694,56.99182,45.34801,0
2022-12-08 15:00:00,72695,56.71434,46.17982,0
2022-12-08 15:15:00,72696,56.70335,45.92036,0
2022-12-08 15:30:00,72697,56.98358,47.14594,0
2022-12-08 15:45:00,72698,56.92863,46.3004,0
2022-12-08 16:00:00,72699,56.46709,45.83336,0
2022-12-08 16:15:00,72700,56.25006,45.96767,0.01
2022-12-08 16:30:00,72701,55.81599,45.69905,0
2022-12-08 16:45:00,72702,55.42039,50.15419,0
2022-12-08 17:00:00,72703,55.07149,49.48111,0
2022-12-08 17:15:00,72704,54.83797,50.64869,0
2022-12-08 17:30:00,72705,54.62368,51.23935,0
